model,context,layer,target_id,target_text,rank_target_tangent,rank_wrong_tangent,rank_random_tangent,rank_offarc_random,rank_offarc_toward,rank_offarc_away,first_rank1_angle
EleutherAI/pythia-160m,The capital of France is,7,1592,fer,3514,34688,39583,4493,30904,4,
EleutherAI/pythia-160m,The capital of France is,7,1603,}(,9022,33781,30237,9864,33171,156,
EleutherAI/pythia-160m,The capital of France is,7,1710,gram,2427,32391,43142,2397,30018,1,
EleutherAI/pythia-160m,The capital of France is,7,1740, four,9,561,1371,6,40,1,
EleutherAI/pythia-160m,The capital of France is,7,1751,ene,3380,36475,37798,3446,33258,1,
EleutherAI/pythia-160m,The capital of France is,7,1768,bs,1396,28742,43267,706,27473,1,
EleutherAI/pythia-160m,The capital of France is,7,1779,Ch,14363,32964,43844,14605,34710,915,
EleutherAI/pythia-160m,The capital of France is,7,1788,lection,5978,38311,44891,6824,36570,3,
EleutherAI/pythia-160m,The capital of France is,7,1813,icro,7655,40943,43343,8810,38474,7,
EleutherAI/pythia-160m,The capital of France is,11,60,[,1,10944,9867,1,2,1,2.033838987350464
EleutherAI/pythia-160m,The capital of France is,11,75,j,1,1374,18262,1,2,1,3.4390275478363037
EleutherAI/pythia-160m,The capital of France is,11,80,o,1,8629,25541,1,1,1,2.6045970916748047
EleutherAI/pythia-160m,The capital of France is,11,81,p,1,18551,2196,1,2,1,2.8192152976989746
EleutherAI/pythia-160m,The capital of France is,11,264,ed,1,18678,17268,1,1,1,1.8044198751449585
EleutherAI/pythia-160m,The capital of France is,11,268, p,1,762,1649,1,2,1,1.779653549194336
EleutherAI/pythia-160m,The capital of France is,11,270, b,1,1371,928,1,2,1,1.5690720081329346
EleutherAI/pythia-160m,The capital of France is,11,324,ad,1,23379,20464,1,2,1,3.0476577281951904
EleutherAI/pythia-160m,The capital of France is,11,351,od,1,1076,20738,1,1,1,3.0994579792022705
EleutherAI/pythia-160m,The capital of France is,11,359, we,1,721,4304,1,2,1,2.212632894515991
EleutherAI/pythia-160m,The capital of France is,11,369, was,1,1720,12489,1,2,1,2.1121268272399902
EleutherAI/pythia-160m,The capital of France is,11,389, com,1,2029,14804,1,1,1,2.3255975246429443
EleutherAI/pythia-160m,The capital of France is,11,398,ers,1,78,19878,1,2,1,2.3089864253997803
EleutherAI/pythia-160m,The capital of France is,11,416, R,1,411,960,1,2,1,1.3365108966827393
EleutherAI/pythia-160m,The capital of France is,11,419, ha,1,1453,11309,1,1,1,1.8380311727523804
EleutherAI/pythia-160m,The capital of France is,11,451,ial,1,1293,15389,1,2,1,2.5584523677825928
EleutherAI/pythia-160m,The capital of France is,11,494,able,1,993,22368,1,1,1,2.223896026611328
EleutherAI/pythia-160m,The capital of France is,11,495, 3,1,3291,487,1,2,1,1.7938809394836426
EleutherAI/pythia-160m,The capital of France is,11,528,ous,1,1614,34127,1,2,1,2.035430431365967
EleutherAI/pythia-160m,The capital of France is,11,598, up,1,1370,134,1,2,1,1.205521583557129
EleutherAI/pythia-160m,The capital of France is,11,606,ang,1,30927,24060,1,1,1,3.1891586780548096
EleutherAI/pythia-160m,The capital of France is,11,609,are,1,6109,33924,1,1,1,3.068243980407715
EleutherAI/pythia-160m,The capital of France is,11,684,ates,1,24105,28685,1,2,1,3.165403366088867
EleutherAI/pythia-160m,The capital of France is,11,695,ric,1,3026,30532,1,2,1,3.074712038040161
EleutherAI/pythia-160m,The capital of France is,11,720,ject,1,35015,30665,1,1,1,4.093878746032715
EleutherAI/pythia-160m,The capital of France is,11,723,ings,1,31466,15285,1,1,1,1.9917651414871216
EleutherAI/pythia-160m,The capital of France is,11,778, may,1,294,1620,1,2,1,2.41162371635437
EleutherAI/pythia-160m,The capital of France is,11,807, year,1,2730,11755,1,2,1,1.9312769174575806
EleutherAI/pythia-160m,The capital of France is,11,864,hen,1,1402,32899,1,2,1,3.226424217224121
EleutherAI/pythia-160m,The capital of France is,11,883,11,1,7675,30283,1,2,1,5.338181972503662
EleutherAI/pythia-160m,The capital of France is,11,888,ident,1,2491,37062,1,1,1,4.575174808502197
EleutherAI/pythia-160m,The capital of France is,11,896, back,1,132,17392,1,2,1,1.4439566135406494
EleutherAI/pythia-160m,The capital of France is,11,927, includ,1,35127,27636,1,2,1,2.703723669052124
EleutherAI/pythia-160m,The capital of France is,11,977,other,1,9149,29554,1,2,1,3.8564271926879883
EleutherAI/pythia-160m,The capital of France is,11,1002, produ,1,12468,22897,1,2,1,3.564955711364746
EleutherAI/pythia-160m,The capital of France is,11,1052, 200,1,2497,4924,1,2,1,2.370915651321411
EleutherAI/pythia-160m,The capital of France is,11,1077, very,1,150,870,1,1,1,1.0190505981445312
EleutherAI/pythia-160m,The capital of France is,11,1080,ator,1,15850,29224,1,2,1,3.1059670448303223
EleutherAI/pythia-160m,The capital of France is,11,1104,ients,1,15024,41131,1,2,1,4.562300205230713
EleutherAI/pythia-160m,The capital of France is,11,1123,ave,1,17720,17087,1,2,1,3.3947885036468506
EleutherAI/pythia-160m,The capital of France is,11,1138,""">",1,18895,30501,1,2,1,3.9396257400512695
EleutherAI/pythia-160m,The capital of France is,11,1140, tra,1,7446,22961,1,1,1,2.0798404216766357
EleutherAI/pythia-160m,The capital of France is,11,1149, gu,1,3973,9422,1,1,1,2.461026430130005
EleutherAI/pythia-160m,The capital of France is,11,1185, dire,1,12263,12994,1,1,1,2.3789138793945312
EleutherAI/pythia-160m,The capital of France is,11,1219, Al,1,31259,13747,1,2,1,1.9501556158065796
EleutherAI/pythia-160m,The capital of France is,11,1223, while,1,10379,6880,1,2,1,2.014284372329712
EleutherAI/pythia-160m,The capital of France is,11,1239, read,1,771,2050,1,2,1,1.372506022453308
EleutherAI/pythia-160m,The capital of France is,11,1251,ng,1,1988,30881,1,1,1,3.1990420818328857
EleutherAI/pythia-160m,The capital of France is,11,1427,ulation,1,25945,30632,1,2,1,4.277801990509033
EleutherAI/pythia-160m,The capital of France is,11,1434,acter,1,44356,35064,1,1,1,5.234383583068848
EleutherAI/pythia-160m,The capital of France is,11,1450,::,1,31329,25602,1,1,1,2.513885259628296
EleutherAI/pythia-160m,The capital of France is,11,1453, control,1,2428,646,1,2,1,1.9470547437667847
EleutherAI/pythia-160m,The capital of France is,11,1460, pur,1,2039,18220,1,1,1,2.095057964324951
EleutherAI/pythia-160m,The capital of France is,11,1525,99,1,30340,29426,1,2,1,5.516661643981934
EleutherAI/pythia-160m,The capital of France is,11,1546,ural,1,1478,15671,1,2,1,3.1386358737945557
EleutherAI/pythia-160m,The capital of France is,11,1592,fer,1,24972,26295,1,1,1,3.4163103103637695
EleutherAI/pythia-160m,The capital of France is,11,1603,}(,1,40452,47023,1,2,1,8.498769760131836
EleutherAI/pythia-160m,The capital of France is,11,1710,gram,1,2759,35340,1,2,1,3.321357011795044
EleutherAI/pythia-160m,The capital of France is,11,1740, four,1,217,1715,1,3,1,1.8402373790740967
EleutherAI/pythia-160m,The capital of France is,11,1751,ene,1,1015,25653,1,1,1,2.9129321575164795
EleutherAI/pythia-160m,The capital of France is,11,1768,bs,1,1198,32063,1,1,1,3.1331169605255127
