model,theta_cell,theta_author,phi
Qwen2-0.5B-Instruct,8.493408203125,11.140905970315389,47.50711441040039
Qwen2-0.5B-Instruct,9.693511962890625,11.874857607957448,47.096004486083984
Qwen2-0.5B-Instruct,11.612587928771973,14.644267089965838,49.110286712646484
Qwen2-0.5B-Instruct,10.71432113647461,13.810622011198273,48.73652648925781
Qwen2-0.5B-Instruct,10.00333023071289,13.497177799997218,47.0684928894043
Qwen2-0.5B-Instruct,9.049739837646484,12.420459949047236,46.8840217590332
Qwen2-0.5B-Instruct,9.059937477111816,,45.00856399536133
Qwen2-0.5B-Instruct,7.694421768188477,9.214246209238192,50.34367370605469
Qwen2-0.5B-Instruct,9.805760383605957,11.903674176065733,49.82541275024414
Qwen2-0.5B-Instruct,11.037224769592285,13.795568274267564,49.33924865722656
Qwen2-0.5B-Instruct,9.29415512084961,11.849483455190851,48.301902770996094
Qwen2-0.5B-Instruct,10.131664276123047,13.843249824863424,46.45380401611328
Qwen2-0.5B-Instruct,9.779194831848145,12.55024720365582,48.11443328857422
Qwen2-0.5B-Instruct,7.601812839508057,9.565652611846177,49.42381286621094
Qwen2-0.5B-Instruct,9.307531356811523,12.194455819600686,48.33894729614258
Qwen2-0.5B-Instruct,9.154891967773438,11.379272742159664,49.02870559692383
Qwen2-0.5B-Instruct,8.708810806274414,10.646133897028834,50.098899841308594
Qwen2-0.5B-Instruct,8.177693367004395,10.403696332439232,48.51662063598633
Qwen2-0.5B-Instruct,9.33574104309082,11.169879632774583,50.049251556396484
Qwen2-0.5B-Instruct,9.226115226745605,10.936375955619356,51.04874801635742
Qwen2-0.5B-Instruct,8.13001823425293,10.703295750192671,47.73204040527344
Qwen2-0.5B-Instruct,11.094534873962402,14.683649960720132,48.07464599609375
Qwen2-0.5B-Instruct,7.990628242492676,9.885278144246094,49.9197883605957
Qwen2-0.5B-Instruct,10.541576385498047,13.890726469784182,47.42148208618164
Qwen2-0.5B-Instruct,9.141745567321777,11.4794374663379,47.62566375732422
Qwen2-0.5B-Instruct,7.519639492034912,9.625382616137939,48.99281311035156
Qwen2-0.5B-Instruct,11.504940032958984,15.334143516893807,47.89710998535156
Qwen2-0.5B-Instruct,8.304255485534668,10.35979187645439,49.523990631103516
Qwen2-0.5B-Instruct,9.821568489074707,12.269464957065765,49.20940017700195
Qwen2-0.5B-Instruct,10.49853801727295,,47.31642532348633
Qwen2-0.5B-Instruct,7.864869117736816,10.356868555489624,48.02109146118164
Qwen2-0.5B-Instruct,9.983691215515137,12.551135128247921,48.887123107910156
Qwen2-0.5B-Instruct,8.463874816894531,11.001720375408869,48.46158981323242
Qwen2-0.5B-Instruct,10.810080528259277,14.140349393380639,48.49396514892578
Qwen2-0.5B-Instruct,10.318011283874512,13.067729655932666,48.81037902832031
Qwen2-0.5B-Instruct,6.117825508117676,7.913484493133454,48.476539611816406
Qwen2-0.5B-Instruct,9.289734840393066,12.380612625429382,47.664791107177734
Qwen2-0.5B-Instruct,5.229708194732666,6.138161233496229,51.19961929321289
