model,context,layer,target_id,target_text,rank1_target,rank1_wrong,rank1_random,top3,top5,top10,rank,margin,rel_margin,win_window_deg,entry_deg,no_worse_frac,voronoi_break,bias_break,nn5_angle
EleutherAI/pythia-160m,The capital of France is,4,1185, dire,True,False,False,True,True,True,1.0,0.028864145278930664,0.01330653391778469,4.8355865478515625,40.16441345214844,1.0,True,False,0.3393056392669678
EleutherAI/pythia-160m,The capital of France is,4,1219, Al,True,False,False,True,True,True,1.0,0.03404378890991211,0.015445329248905182,7.579627990722656,37.420372009277344,1.0,True,False,0.2817581295967102
EleutherAI/pythia-160m,The capital of France is,4,1223, while,True,False,False,True,True,True,1.0,0.08049201965332031,0.03553419187664986,21.0851993560791,23.9148006439209,1.0,True,False,0.2684856355190277
EleutherAI/pythia-160m,The capital of France is,4,1239, read,True,False,False,True,True,True,1.0,0.10024690628051758,0.04421164467930794,21.500009536743164,23.499990463256836,1.0,True,False,0.2907528579235077
EleutherAI/pythia-160m,The capital of France is,4,1251,ng,True,False,False,True,True,True,1.0,0.05591726303100586,0.025588052347302437,8.328147888183594,36.671852111816406,1.0,True,False,0.3534139096736908
EleutherAI/pythia-160m,The capital of France is,4,1427,ulation,True,False,False,True,True,True,1.0,0.06675076484680176,0.030348699539899826,12.698719024658203,32.3012809753418,1.0,True,False,0.27753791213035583
EleutherAI/pythia-160m,The capital of France is,4,1434,acter,True,False,False,True,True,True,1.0,0.07762742042541504,0.035673920065164566,11.665267944335938,33.33473205566406,1.0,True,False,0.34446418285369873
EleutherAI/pythia-160m,The capital of France is,4,1450,::,True,False,False,True,True,True,1.0,0.12616729736328125,0.05623576045036316,19.308223724365234,25.691776275634766,1.0,True,False,0.3603542149066925
EleutherAI/pythia-160m,The capital of France is,4,1453, control,True,False,False,True,True,True,1.0,0.08960151672363281,0.039893075823783875,18.4896240234375,26.5103759765625,1.0,True,False,0.26845118403434753
EleutherAI/pythia-160m,The capital of France is,4,1460, pur,True,False,False,True,True,True,1.0,0.1063530445098877,0.04714418947696686,20.86345100402832,24.13654899597168,1.0,True,False,0.3307362496852875
EleutherAI/pythia-160m,The capital of France is,4,1525,99,True,False,False,True,True,True,1.0,0.0027627944946289062,0.0012764354469254613,0.6390762329101562,44.360923767089844,1.0,True,False,0.21338318288326263
EleutherAI/pythia-160m,The capital of France is,4,1546,ural,True,False,False,True,True,True,1.0,0.08682060241699219,0.03917158395051956,15.222293853759766,29.777706146240234,1.0,True,False,0.3620150685310364
EleutherAI/pythia-160m,The capital of France is,4,1592,fer,True,False,False,True,True,True,1.0,0.08689355850219727,0.039402611553668976,12.504154205322266,32.495845794677734,1.0,True,False,0.3578009605407715
EleutherAI/pythia-160m,The capital of France is,4,1603,}(,False,False,False,False,False,True,7.0,-0.01721358299255371,-0.008071325719356537,0.0,48.59476852416992,1.0,True,False,0.2042873352766037
EleutherAI/pythia-160m,The capital of France is,4,1710,gram,True,False,False,True,True,True,1.0,0.08377623558044434,0.038092371076345444,12.021080017089844,32.978919982910156,1.0,True,False,0.34902554750442505
EleutherAI/pythia-160m,The capital of France is,4,1740, four,True,False,False,True,True,True,1.0,0.005129814147949219,0.0022706831805408,9.569290161132812,35.43070983886719,1.0,True,False,0.15380823612213135
EleutherAI/pythia-160m,The capital of France is,4,1751,ene,True,False,False,True,True,True,1.0,0.10329341888427734,0.046743813902139664,14.33635139465332,30.66364860534668,1.0,True,False,0.36605939269065857
EleutherAI/pythia-160m,The capital of France is,4,1768,bs,True,False,False,True,True,True,1.0,0.06349825859069824,0.02908220887184143,8.894275665283203,36.1057243347168,1.0,True,False,0.3650358021259308
EleutherAI/pythia-160m,The capital of France is,4,1779,Ch,False,False,False,False,False,False,22.0,-0.031058311462402344,-0.014600801281630993,0.0,50.85819625854492,1.0,True,False,0.2731393277645111
EleutherAI/pythia-160m,The capital of France is,4,1788,lection,True,False,False,True,True,True,1.0,0.05965590476989746,0.027682054787874222,8.515949249267578,36.48405075073242,1.0,True,False,0.34281858801841736
EleutherAI/pythia-160m,The capital of France is,4,1813,icro,True,False,False,True,True,True,1.0,0.07030057907104492,0.03217877820134163,10.878227233886719,34.12177276611328,1.0,True,False,0.3526608645915985
EleutherAI/pythia-160m,The capital of France is,7,60,[,True,False,False,True,True,True,1.0,0.08606195449829102,0.039748430252075195,19.233022689819336,25.766977310180664,1.0,True,False,0.29876264929771423
EleutherAI/pythia-160m,The capital of France is,7,75,j,True,False,False,True,True,True,1.0,0.0026633739471435547,0.0012741447426378727,0.9595909118652344,44.040409088134766,1.0,True,False,0.3013487458229065
EleutherAI/pythia-160m,The capital of France is,7,80,o,True,False,False,True,True,True,1.0,0.09906649589538574,0.046167295426130295,14.830432891845703,30.169567108154297,1.0,True,False,0.35200831294059753
EleutherAI/pythia-160m,The capital of France is,7,81,p,True,False,False,True,True,True,1.0,0.06950044631958008,0.03255653753876686,13.57632827758789,31.42367172241211,1.0,True,False,0.3245663642883301
